size,runs,size_runs,throughput
8, 67108864, 536870912, 5282927583.365109
16, 33554432, 536870912, 5617622460.197305
32, 16777216, 536870912, 4982630031.972603
64, 8388608, 536870912, 5290046133.987605
128, 4194304, 536870912, 5459115484.368317
256, 2097152, 536870912, 5550770937.518781
512, 1048576, 536870912, 5596697592.294090
1024, 524288, 536870912, 5558230898.046127
2048, 262144, 536870912, 5647527555.410623
4096, 131072, 536870912, 5637538675.188012
8192, 65536, 536870912, 5135736082.138922
16384, 32768, 536870912, 5144662292.572405
32768, 16384, 536870912, 5133958851.514500
65536, 8192, 536870912, 5147168551.579336
131072, 4096, 536870912, 5102462620.464179
262144, 2048, 536870912, 4907891819.870428
524288, 1024, 536870912, 5072758073.069532
1048576, 512, 536870912, 5089158464.804261
2097152, 256, 536870912, 5068633353.867651
4194304, 128, 536870912, 5098595110.890836
8388608, 64, 536870912, 5085687435.651355
16777216, 32, 536870912, 5040387714.973586
33554432, 16, 536870912, 4941097295.490797
67108864, 8, 536870912, 4553313179.159130
134217728, 4, 536870912, 1601715208.019452
268435456, 2, 536870912, 1530265023.255217
536870912, 1, 536870912, 1695666855.580001
