size,runs,size_runs,throughput
8, 67108864, 536870912, 4853070390.960452
16, 33554432, 536870912, 4719744281.318681
32, 16777216, 536870912, 4593547910.160427
64, 8388608, 536870912, 4745820216.574586
128, 4194304, 536870912, 4880644654.545455
256, 2097152, 536870912, 4880644654.545455
512, 1048576, 536870912, 4853070390.960452
1024, 524288, 536870912, 4936744018.390804
2048, 262144, 536870912, 5206020964.848485
4096, 131072, 536870912, 5174659392.771085
8192, 65536, 536870912, 5206020964.848485
16384, 32768, 536870912, 5143673408.383234
32768, 16384, 536870912, 5174659392.771085
65536, 8192, 536870912, 5206020964.848485
131072, 4096, 536870912, 5174659392.771085
262144, 2048, 536870912, 5113056304.761905
524288, 1024, 536870912, 5143673408.383234
1048576, 512, 536870912, 4965280110.982659
2097152, 256, 536870912, 4798846140.782123
4194304, 128, 536870912, 4825805950.561798
8388608, 64, 536870912, 4618244404.301075
16777216, 32, 536870912, 4745820216.574586
33554432, 16, 536870912, 4521018206.315789
67108864, 8, 536870912, 4593547910.160427
134217728, 4, 536870912, 4427801336.082475
268435456, 2, 536870912, 3940336968.807339
536870912, 1, 536870912, 164526615.437656
