size,runs,size_runs,throughput
8, 67108864, 536870912, 4032833141.784038
16, 33554432, 536870912, 4294967296.000000
32, 16777216, 536870912, 3995318414.883721
64, 8388608, 536870912, 4110016551.196173
128, 4194304, 536870912, 4210752250.980392
256, 2097152, 536870912, 4252442867.326733
512, 1048576, 536870912, 4316550046.231155
1024, 524288, 536870912, 4338350804.040404
2048, 262144, 536870912, 4294967296.000000
4096, 131072, 536870912, 4316550046.231155
8192, 65536, 536870912, 4273599299.502488
16384, 32768, 536870912, 4294967296.000000
32768, 16384, 536870912, 4273599299.502488
65536, 8192, 536870912, 4273599299.502488
131072, 4096, 536870912, 4273599299.502488
262144, 2048, 536870912, 4231494872.906404
524288, 1024, 536870912, 4210752250.980392
1048576, 512, 536870912, 3940336968.807339
2097152, 256, 536870912, 3851988606.278027
4194304, 128, 536870912, 3869339906.306306
8388608, 64, 536870912, 3834792228.571428
16777216, 32, 536870912, 3817748707.555555
33554432, 16, 536870912, 3800856014.159292
67108864, 8, 536870912, 3702558013.793104
134217728, 4, 536870912, 3564288212.448133
268435456, 2, 536870912, 3303820996.923077
536870912, 1, 536870912, 2709758546.372240
