size,runs,size_runs,throughput
8, 67108864, 536870912, 5295697993.722794
16, 33554432, 536870912, 5676630865.511066
32, 16777216, 536870912, 5499335524.121396
64, 8388608, 536870912, 5841752315.976601
128, 4194304, 536870912, 6032456543.158377
256, 2097152, 536870912, 6124097395.991146
512, 1048576, 536870912, 6062707214.888259
1024, 524288, 536870912, 6199947738.156674
2048, 262144, 536870912, 5348944769.078256
4096, 131072, 536870912, 6193506064.490823
8192, 65536, 536870912, 5706054636.387369
16384, 32768, 536870912, 5693505835.722216
32768, 16384, 536870912, 5763018443.812156
65536, 8192, 536870912, 5609581023.145739
131072, 4096, 536870912, 5612652538.878860
262144, 2048, 536870912, 5598827947.163347
524288, 1024, 536870912, 5473722485.891835
1048576, 512, 536870912, 5555933667.209328
2097152, 256, 536870912, 5540231215.796552
4194304, 128, 536870912, 5521680372.623056
8388608, 64, 536870912, 5530429240.548463
16777216, 32, 536870912, 5342264908.701925
33554432, 16, 536870912, 4950431677.471445
67108864, 8, 536870912, 2011285432.375807
134217728, 4, 536870912, 2047817887.289057
268435456, 2, 536870912, 2101575775.961998
536870912, 1, 536870912, 2176529984.779377
