size,runs,size_runs,throughput
8, 33554432, 268435456, 5577879605.194805
16, 16777216, 268435456, 5436667463.291139
32, 8388608, 268435456, 4936744018.390804
64, 4194304, 268435456, 5237764995.121951
128, 2097152, 268435456, 5368709120.000000
256, 1048576, 268435456, 5506368328.205128
512, 524288, 268435456, 5302428760.493827
1024, 262144, 268435456, 5726623061.333333
2048, 131072, 268435456, 5726623061.333333
4096, 65536, 268435456, 5804009859.459459
8192, 32768, 268435456, 5651272757.894737
16384, 16384, 268435456, 5368709120.000000
32768, 8192, 268435456, 5651272757.894737
65536, 4096, 268435456, 5804009859.459459
131072, 2048, 268435456, 5651272757.894737
262144, 1024, 268435456, 5368709120.000000
524288, 512, 268435456, 5174659392.771085
1048576, 256, 268435456, 4569114144.680851
2097152, 128, 268435456, 3767515171.929825
4194304, 64, 268435456, 4169871161.165049
8388608, 32, 268435456, 4427801336.082475
16777216, 16, 268435456, 4880644654.545455
33554432, 8, 268435456, 4427801336.082475
67108864, 4, 268435456, 4473924266.666667
134217728, 2, 268435456, 3869339906.306306
268435456, 1, 268435456, 1255838390.643275


