PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
SUM_VECTORS,LAB207,4,7.699999999999999e-08,5.2338000000000006e-05
SUM_VECTORS,LAB207,5,9.739999999999999e-08,4.6683e-05
SUM_VECTORS,LAB207,6,1.4109999999999999e-07,4.7025e-05
SUM_VECTORS,LAB207,7,2.357e-07,4.8892000000000006e-05
SUM_VECTORS,LAB207,8,3.9980000000000007e-07,5.735100000000001e-05
SUM_VECTORS,LAB207,9,7.49e-07,7.5807e-05
SUM_VECTORS,LAB207,10,2.3604e-06,0.000114413
SUM_VECTORS,LAB207,11,4.3197e-06,0.000163515
SUM_VECTORS,LAB207,12,8.8993e-06,0.000277561
SUM_VECTORS,LAB207,13,1.90408e-05,0.000549157
SUM_VECTORS,LAB207,14,4.0065800000000005e-05,0.00108796
SUM_VECTORS,LAB207,15,8.57488e-05,0.002104855
SUM_VECTORS,LAB207,16,0.00017117910000000002,0.004200423
SUM_VECTORS,LAB207,17,0.0003449434,0.008400662
SUM_VECTORS,LAB207,18,0.0006807437,0.016648449
SUM_VECTORS,LAB207,19,0.0010996422000000001,0.025748878
SUM_VECTORS,LAB207,20,0.0018902643000000001,0.043484722999999996
SUM_VECTORS,LAB207,21,0.0034618391,0.080124889
SUM_VECTORS,LAB207,22,0.0065269889999999995,0.14730784
SUM_VECTORS,LAB207,23,0.0121814978,0.277159414
SUM_VECTORS,LAB207,24,0.0240843369,0.546034635
SUM_VECTORS,LAB207,25,0.04786740269999999,1.0765111790000002
SUM_VECTORS,LAB207,26,0.0952802407,2.136614568
SUM_VECTORS,LAB207,27,0.2733200954,5.091494529
