PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
MATMUL_JKI, CLUSTER,4,1.305e-06,8.95878e-05
MATMUL_JKI, CLUSTER,8,3.4698000000000006e-06,5.17892e-05
MATMUL_JKI, CLUSTER,16,5.07988e-05,0.0001456874
MATMUL_JKI, CLUSTER,32,0.0002043377999999,0.0002631256
MATMUL_JKI, CLUSTER,64,0.0029793724,0.0031273555999999
MATMUL_JKI, CLUSTER,128,0.0127445804,0.0129394147999999
MATMUL_JKI, CLUSTER,256,0.1600901302,0.1610844204
MATMUL_JKI, CLUSTER,512,0.9799377114,0.9821387908
MATMUL_JKI, CLUSTER,1024,14.5195669152,14.5311094206
MATMUL_JKI,LAB207,4,8.67e-07,1.34528e-05
MATMUL_JKI,LAB207,8,3.426e-06,1.48876e-05
MATMUL_JKI,LAB207,16,2.549e-05,3.98928e-05
MATMUL_JKI,LAB207,32,0.0001941512,0.0002142281999999
MATMUL_JKI,LAB207,64,0.0015367514,0.0015831525999999
MATMUL_JKI,LAB207,128,0.011392043,0.0115391082
MATMUL_JKI,LAB207,256,0.0936151508,0.0941531266
MATMUL_JKI,LAB207,512,0.7149384928000001,0.7166649018
MATMUL_JKI,LAB207,1024,13.062582073200002,13.0692432588
