PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
MATMUL_TRANSPOSE, CLUSTER,4,5.808e-07,4.45326e-05
MATMUL_TRANSPOSE, CLUSTER,8,2.9584e-06,4.5022e-05
MATMUL_TRANSPOSE, CLUSTER,16,2.33108e-05,8.115240000000001e-05
MATMUL_TRANSPOSE, CLUSTER,32,0.0001898048,0.0002538484
MATMUL_TRANSPOSE, CLUSTER,64,0.0014322152,0.0015533951999999
MATMUL_TRANSPOSE, CLUSTER,128,0.0110250286,0.0113819626
MATMUL_TRANSPOSE, CLUSTER,256,0.0774762465999999,0.0787951044
MATMUL_TRANSPOSE, CLUSTER,512,0.5806925545999999,0.586972231
MATMUL_TRANSPOSE, CLUSTER,1024,4.5239580738,4.5454061298
MATMUL_TRANSPOSE,LAB207,4,9.360000000000002e-07,1.7284e-05
MATMUL_TRANSPOSE,LAB207,8,3.5066e-06,1.71518e-05
MATMUL_TRANSPOSE,LAB207,16,2.45826e-05,4.0866000000000005e-05
MATMUL_TRANSPOSE,LAB207,32,0.0001819986,0.00020782
MATMUL_TRANSPOSE,LAB207,64,0.0014331112,0.001510827
MATMUL_TRANSPOSE,LAB207,128,0.010561446,0.0108286784
MATMUL_TRANSPOSE,LAB207,256,0.071529058,0.0725504092
MATMUL_TRANSPOSE,LAB207,512,0.5263220496000001,0.5298021348
MATMUL_TRANSPOSE,LAB207,1024,4.237282735799999,4.249604603
