size,runs,size_runs,throughput
8,67108864,536870912,4544938938
16,33554432,536870912,4405094663
32,16777216,536870912,4210752251
64,8388608,536870912,4231494873
128,4194304,536870912,4427801336
256,2097152,536870912,4450743312
512,1048576,536870912,4544938938
1024,524288,536870912,4668442713
2048,262144,536870912,4643207888
4096,131072,536870912,4643207888
8192,65536,536870912,4618244404
16384,32768,536870912,4618244404
32768,16384,536870912,4643207888
65536,8192,536870912,4618244404
131072,4096,536870912,4569114145
262144,2048,536870912,4252442867
524288,1024,536870912,4013988127
1048576,512,536870912,3958495204
2097152,256,536870912,3958495204
4194304,128,536870912,3940336969
8388608,64,536870912,3958495204
16777216,32,536870912,3940336969
33554432,16,536870912,3940336969
67108864,8,536870912,3958495204
134217728,4,536870912,3624444976
268435456,2,536870912,733555473.3
536870912,1,536870912,672138857
