size,runs,size_runs,throughput
8, 67108864, 536870912, 5113056304.761905
16, 33554432, 536870912, 5206020964.848485
32, 16777216, 536870912, 4643207887.567567
64, 8388608, 536870912, 4825805950.561798
128, 4194304, 536870912, 4936744018.390804
256, 2097152, 536870912, 5174659392.771085
512, 1048576, 536870912, 5237764995.121951
1024, 524288, 536870912, 5023353562.573099
2048, 262144, 536870912, 5237764995.121951
4096, 131072, 536870912, 5302428760.493827
8192, 65536, 536870912, 5237764995.121951
16384, 32768, 536870912, 4825805950.561798
32768, 16384, 536870912, 5269898522.699387
65536, 8192, 536870912, 5302428760.493827
131072, 4096, 536870912, 4880644654.545455
262144, 2048, 536870912, 5113056304.761905
524288, 1024, 536870912, 4965280110.982659
1048576, 512, 536870912, 4643207887.567567
2097152, 256, 536870912, 4693953328.961748
4194304, 128, 536870912, 4693953328.961748
8388608, 64, 536870912, 4693953328.961748
16777216, 32, 536870912, 4693953328.961748
33554432, 16, 536870912, 4618244404.301075
67108864, 8, 536870912, 4521018206.315789
134217728, 4, 536870912, 4273599299.502488
268435456, 2, 536870912, 3851988606.278027
536870912, 1, 536870912, 3408704203.174603
