size,runs,size_runs,throughput
8, 33554432, 268435456, 5368709120.000000
16, 16777216, 268435456, 5436667463.291139
32, 8388608, 268435456, 4994148018.604651
64, 4194304, 268435456, 5052902701.176471
128, 2097152, 268435456, 5302428760.493827
256, 1048576, 268435456, 5436667463.291139
512, 524288, 268435456, 5506368328.205128
1024, 262144, 268435456, 5577879605.194805
2048, 131072, 268435456, 5577879605.194805
4096, 65536, 268435456, 5651272757.894737
8192, 32768, 268435456, 5577879605.194805
16384, 16384, 268435456, 5577879605.194805
32768, 8192, 268435456, 5651272757.894737
65536, 4096, 268435456, 5577879605.194805
131072, 2048, 268435456, 5577879605.194805
262144, 1024, 268435456, 5302428760.493827
524288, 512, 268435456, 5052902701.176471
1048576, 256, 268435456, 5052902701.176471
2097152, 128, 268435456, 5174659392.771085
4194304, 64, 268435456, 4936744018.390804
8388608, 32, 268435456, 4994148018.604651
16777216, 16, 268435456, 4936744018.390804
33554432, 8, 268435456, 4719744281.318681
67108864, 4, 268435456, 4338350804.040404
134217728, 2, 268435456, 3869339906.306306
268435456, 1, 268435456, 1579032094.117647
