size,runs,size_runs,throughput
8, 67108864, 536870912, 5295655551.664784
16, 33554432, 536870912, 5613375090.017265
32, 16777216, 536870912, 4997375974.830254
64, 8388608, 536870912, 5322206342.086023
128, 4194304, 536870912, 5486434283.641232
256, 2097152, 536870912, 5572889336.107472
512, 1048576, 536870912, 5613151336.025140
1024, 524288, 536870912, 5642259989.963401
2048, 262144, 536870912, 5647442157.326182
4096, 131072, 536870912, 5646309948.624104
8192, 65536, 536870912, 5163536016.388791
16384, 32768, 536870912, 5148396368.405027
32768, 16384, 536870912, 5153641229.443774
65536, 8192, 536870912, 5161482066.867840
131072, 4096, 536870912, 5108768588.268180
262144, 2048, 536870912, 4966141291.553449
524288, 1024, 536870912, 5067924625.994345
1048576, 512, 536870912, 5118775317.423097
2097152, 256, 536870912, 5082031711.172746
4194304, 128, 536870912, 5075215737.897084
8388608, 64, 536870912, 5021456567.869681
16777216, 32, 536870912, 4897292667.060810
33554432, 16, 536870912, 4184629088.508745
67108864, 8, 536870912, 1469362044.327518
134217728, 4, 536870912, 1498140232.574526
268435456, 2, 536870912, 1508229057.316301
536870912, 1, 536870912, 1619391253.561651
