PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
MATMUL_IKJ, CLUSTER,4,1.1828e-06,8.52792e-05
MATMUL_IKJ, CLUSTER,8,2.8446000000000007e-06,8.32736e-05
MATMUL_IKJ, CLUSTER,16,4.597620000000001e-05,0.0001293392
MATMUL_IKJ, CLUSTER,32,0.0001724086,0.0002238749999999
MATMUL_IKJ, CLUSTER,64,0.0024375574,0.0025653638
MATMUL_IKJ, CLUSTER,128,0.0110014442,0.0111759532
MATMUL_IKJ, CLUSTER,256,0.1221152908,0.1230113468
MATMUL_IKJ, CLUSTER,512,0.6635956474,0.6659399868
MATMUL_IKJ, CLUSTER,1024,5.1496872804,5.1615390224
MATMUL_IKJ,LAB207,4,4.961999999999999e-07,8.675399999999998e-06
MATMUL_IKJ,LAB207,8,2.395e-06,1.11056e-05
MATMUL_IKJ,LAB207,16,2.04454e-05,3.1078400000000004e-05
MATMUL_IKJ,LAB207,32,0.0001511894,0.000167199
MATMUL_IKJ,LAB207,64,0.0011865372,0.001222659
MATMUL_IKJ,LAB207,128,0.0085762796,0.0087103028
MATMUL_IKJ,LAB207,256,0.0752877148,0.0757346274
MATMUL_IKJ,LAB207,512,0.6664187643999999,0.6681593264
MATMUL_IKJ,LAB207,1024,5.1631880412,5.1698540944
