PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,0,6.88E-07,1.29E-05
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,0,7.20E-07,7.98E-06
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,0,1.40E-06,8.77E-06
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,0,2.74E-06,1.01E-05
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,0,8.08E-06,1.74E-05
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,0,1.09E-05,1.85E-05
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,0,2.10E-05,2.84E-05
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,0,4.27E-05,5.00E-05
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,0,8.52E-05,9.26E-05
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,0,0.00017232,0.000179696
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,0,0.000350131,0.000357565
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,0,0.000698075,0.000705508
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,0,0.001397101,0.001404496
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,0,0.002674215,0.002682383
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,262144,0,0.005344825,0.005352137
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,524288,0,0.010469057,0.010476238
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1048576,0,0.020812241,0.020819542
PI_TRAPEZOIDAL,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2097152,0,0.040902952,0.040910329
