PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,0,1.10E-07,9.12E-06
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,0,1.60E-07,8.15E-06
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,0,2.43E-07,8.28E-06
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,0,4.09E-07,8.72E-06
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,0,7.23E-07,1.04E-05
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,0,1.34E-06,1.63E-05
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,0,5.55E-06,2.09E-05
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,0,7.87E-06,2.87E-05
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,0,1.63E-05,5.72E-05
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,0,3.34E-05,9.88E-05
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,0,7.21E-05,0.00019765
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,0,0.000149196,0.000380903
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,0,0.000298665,0.000746542
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,0,0.000647264,0.001551271
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,262144,0,0.001197906,0.002979104
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,524288,0,0.001994871,0.004704034
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1048576,0,0.003560235,0.008166441
SUM_VECTORS,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2097152,0,0.006749857,0.015501769
