PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,0,7.22E-07,8.98E-06
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,0,1.15E-06,9.40E-06
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,0,1.92E-06,1.03E-05
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,0,3.19E-06,1.13E-05
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,0,5.80E-06,1.43E-05
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,0,1.12E-05,2.13E-05
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,0,2.34E-05,4.13E-05
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,0,4.94E-05,6.69E-05
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,0,0.000106945,0.000133156
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,0,0.000231904,0.000278595
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,0,0.00049265,0.000587455
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,0,0.001026913,0.001192215
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,0,0.00216352,0.002498788
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,0,0.004564971,0.005217643
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,262144,0,0.009516839,0.010817444
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,524288,0,0.019984035,0.022086575
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1048576,0,0.041545397,0.045279756
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2097152,0,0.087216198,0.094287961
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4194304,0,0.181981638,0.195740277
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8388608,0,0.379142316,0.406637345
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16777216,0,0.791718357,0.84557264
QUICK_SORT,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,33554432,0,1.651700673,1.757703069
