PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,0,0.000653609,0.000706963
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,0,0.000899077,0.001006924
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,0,0.001231006,0.001361339
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,0,0.01223021,0.012710052
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,0,0.066509261,0.06775577
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,0,0.523005943,0.528776838
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,0,3.135580712,3.155115357
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,2,0.00033172,0.002594794
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,2,0.002303746,0.006789391
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,2,0.000971849,0.003164774
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,2,0.00536131,0.012345389
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,2,0.035794887,0.040948181
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,2,0.272802758,0.279688044
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,2,1.641051777,1.652443146
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,4,0.000439193,0.002571324
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,4,0.000221418,0.002344912
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,4,0.00073332,0.002669889
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,4,0.002131102,0.004431193
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,4,0.014259129,0.019497013
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,4,0.103883205,0.108434075
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,4,0.802681678,0.81027284
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,8,0.000390303,0.002430391
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,8,0.000448082,0.002448668
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,8,0.000325468,0.002327135
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,8,0.001640524,0.003734967
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,8,0.009068926,0.0116765
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,8,0.062642715,0.067242667
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,8,0.471368953,0.478878205
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,12,0.00043251,0.002441276
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,12,0.000408712,0.002452275
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,12,0.000322387,0.002336237
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,12,0.001008466,0.003115928
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,12,0.006642299,0.009426664
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,12,0.046446518,0.051113816
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,12,0.346052243,0.353467929
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,16,0.000382725,0.002411665
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,16,0.0004406,0.00261162
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,16,0.000285416,0.002265683
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,16,0.001102568,0.003309141
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,16,0.007687671,0.010310113
