PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,0,3.6997e-05,5.6775e-05
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,0,2.202e-05,3.7742e-05
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,0,2.4831e-05,4.4307e-05
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,0,2.3082e-05,3.9241e-05
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,0,3.0497e-05,4.9667e-05
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,0,3.2982e-05,4.9224e-05
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,0,5.6439e-05,7.5426e-05
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2048,0,7.4757e-05,9.1124e-05
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,4096,0,0.000159676,0.000178973
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,8192,0,0.000263136,0.000280645
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16384,0,0.000619748,0.000639358
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32768,0,0.001125475,0.001144857
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,65536,0,0.002188312,0.002209395
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,131072,0,0.004114385,0.004132889
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,262144,0,0.007534184,0.007554822
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,524288,0,0.016007852,0.016026434
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1048576,0,0.029859157,0.029876776
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2097152,0,0.058770146,0.058788733
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,4194304,0,0.104927492,0.104942712
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,8388608,0,0.206411399,0.206425615
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16777216,0,0.361013759,0.361027838
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,33554432,0,0.749684151,0.749698109
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,67108864,0,1.244034539,1.244051182
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,134217728,0,2.483929138,2.483940432
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,268435456,0,5.082247306,5.082263045
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,536870912,0,10.096937606,10.096959401
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1073741824,0,20.015460575,20.015485703
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,2,0.000204047,0.00022639
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,2,0.000165719,0.000176414
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,2,0.000204484,0.000226227
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,2,0.000122776,0.000133405
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,2,0.000199404,0.000221272
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,2,0.000132044,0.00014262
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,2,0.00022511,0.000247137
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2048,2,0.000162801,0.000173337
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,4096,2,0.000277485,0.000299356
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,8192,2,0.000288265,0.000298904
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16384,2,0.000466517,0.000488417
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32768,2,0.000739589,0.000761557
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,65536,2,0.001276393,0.001287048
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,131072,2,0.00237426,0.002396353
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,262144,2,0.004299509,0.004310249
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,524288,2,0.007963394,0.007984117
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1048576,2,0.014527288,0.014538172
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2097152,2,0.025755281,0.025772903
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,4194304,2,0.044473923,0.04448479
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,8388608,2,0.109722499,0.109745907
PI_SERIES,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16777216,2,0.173504767,0.173515756
