PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,0,1.32E-05,5.89E-05
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,0,8.23E-05,0.000137021
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,0,0.000650565,0.000756012
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,0,0.00525068,0.005545029
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,0,0.041134772,0.042204565
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,0,0.327466525,0.331492899
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,0,2.531174792,2.546864219
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,2,0.000191407,0.000249719
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,2,0.000362253,0.000413031
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,2,0.001028892,0.001163437
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,2,0.005133973,0.005405547
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,2,0.035106087,0.036445034
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,2,0.216188486,0.220054066
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,2,1.564608265,1.580416179
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,4,0.000206362,0.000254068
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,4,0.000354645,0.000405453
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,4,0.000858659,0.000964567
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,4,0.003227049,0.003500385
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,4,0.017449068,0.018482304
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,4,0.113620712,0.117461147
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,4,0.810779132,0.827180973
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,8,0.000358408,0.000399293
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,8,0.000588557,0.000640961
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,8,0.001042404,0.001138561
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,8,0.002730241,0.002995341
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,8,0.011086573,0.012050471
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,8,0.065909078,0.069739061
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,8,0.461659298,0.476895809
GAUSS_ELIMINATION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,12,0.000493699,0.000536289
