PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,0,1.44E-05,2.89E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,0,9.17E-05,0.000118667
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,0,0.000672857,0.000746134
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,0,0.005033053,0.00529361
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,0,0.039107291,0.04005643
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,0,0.318821755,0.322371819
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,0,4.218250304,4.231545944
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,2,9.40E-05,0.000105233
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,2,0.000199445,0.00022071
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,2,0.000701213,0.000761086
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,2,0.003779704,0.004009368
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,2,0.023590143,0.024477262
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,2,0.194115477,0.197500817
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,2,2.381476722,2.394870037
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,4,0.000115213,0.000126325
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,4,0.00020785,0.000231112
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,4,0.000688253,0.000748763
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,4,0.004076973,0.004300233
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,4,0.015236644,0.016096985
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,4,0.108297847,0.111693904
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,4,1.306501205,1.319825006
