PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,0,1.37E-05,2.57E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,0,8.00E-05,0.000103398
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,0,0.000610938,0.000676837
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,0,0.004404022,0.004630575
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,0,0.03350507,0.034393102
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,0,0.261408833,0.264750717
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,0,2.100739253,2.114035854
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,2,8.68E-05,9.77E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,2,0.00015581,0.000177671
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,2,0.000570265,0.000631369
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,2,0.003207284,0.003435857
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,2,0.021035413,0.021908939
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,2,0.158342808,0.161711027
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,2,1.26154025,1.27482273
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,4,0.000111432,0.00012245
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,4,0.000165141,0.000186618
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,4,0.000415492,0.000476358
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,4,0.002337763,0.002566272
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,4,0.012522681,0.013411372
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,4,0.086006463,0.089428107
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,4,0.682317827,0.695621332
