PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,0,1.0335e-06,1.24715e-05
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,0,1.4984000000000003e-06,1.35468e-05
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,0,2.5155e-06,1.4250400000000003e-05
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,0,1.10877e-05,2.22513e-05
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,0,1.7312400000000004e-05,2.90315e-05
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,0,2.06194e-05,3.19788e-05
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,0,2.92868e-05,4.06835e-05
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2048,0,4.68314e-05,5.82637e-05
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,4096,0,8.09145e-05,9.36025e-05
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,8192,0,0.000148026,0.0001593584
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16384,0,0.0002876699,0.0002991621
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32768,0,0.0005593155,0.0005709075999999
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,65536,0,0.0011084793,0.0011203642
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,131072,0,0.0022167835,0.0022283069
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,262144,0,0.0043888663999999,0.0044002595
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,524288,0,0.0087907878,0.0088022056
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1048576,0,0.0172268592,0.0172382881
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2097152,0,0.0342350445,0.0342465209999999
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,4194304,0,0.0672202442,0.0672313843
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,8388608,0,0.1326885893,0.132700357
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16777216,0,0.2663469703,0.2663579471
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,33554432,0,0.5234765162999999,0.5234872057000001
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,67108864,0,1.0480692894,1.048083381
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,134217728,0,2.0928720046,2.0928828008
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,2,0.0001361347,0.0001521423
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,2,0.0001113637,0.0001227488
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,2,0.0001427682999999,0.0001592296
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,2,0.0001191265,0.0001301033
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,2,0.0001372336,0.0001536272
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,2,0.0001130750999999,0.0001237183
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,2,0.0001290135,0.0001428404
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2048,2,0.0001340278,0.0001447873
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,4096,2,0.0001607305,0.0001732578
PI_RANDOM,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,8192,2,0.0002366169,0.0002473907
