PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,0,9.09E-07,1.09E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,0,1.36E-06,1.10E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,0,2.30E-06,1.20E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,0,5.72E-06,1.53E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,0,1.08E-05,2.02E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,0,1.22E-05,2.21E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,0,2.34E-05,3.29E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,0,3.45E-05,4.42E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,0,6.65E-05,7.61E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,0,0.000129121,0.000138668
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,0,0.000254253,0.000263645
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,0,0.000499882,0.000509301
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,0,0.000994216,0.001003673
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,0,0.00198401,0.001993778
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,262144,0,0.003958109,0.003967502
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,524288,0,0.007894242,0.007903915
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1048576,0,0.015777006,0.015786543
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2097152,0,0.031531499,0.031541194
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4194304,0,0.063047712,0.063057539
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8388608,0,0.12615168,0.126161526
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16777216,0,0.252094523,0.252104577
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,33554432,0,0.504211269,0.504221426
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,67108864,0,1.008848385,1.008858175
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,134217728,0,2.018012092,2.018022937
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,268435456,0,4.035209693,4.035219614
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,536870912,0,8.069970179,8.069982156
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1073741824,0,16.14998117,16.14999106
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,2,4.96E-05,5.99E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,2,4.86E-05,5.85E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,2,4.93E-05,5.91E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,2,4.82E-05,5.79E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,2,4.95E-05,5.92E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,2,5.93E-05,6.90E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,2,6.16E-05,7.08E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,2,7.63E-05,8.54E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,2,8.34E-05,9.29E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,2,0.000113061,0.000122665
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,2,0.000172121,0.000181755
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,2,0.000295286,0.000304978
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,2,0.000547877,0.000557807
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,2,0.001045954,0.001055705
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,262144,2,0.002026434,0.002036037
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,524288,2,0.003990254,0.004000021
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1048576,2,0.00794021,0.007949892
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2097152,2,0.01584192,0.015851656
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4194304,2,0.035354367,0.03536468
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8388608,2,0.066189749,0.066200391
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16777216,2,0.126221302,0.126231605
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,33554432,2,0.252362656,0.25237302
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,67108864,2,0.504276681,0.504286922
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,134217728,2,1.008138169,1.008148605
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,268435456,2,2.016495916,2.016506329
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,536870912,2,4.03402048,4.034030973
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1073741824,2,8.063011572,8.06302226
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,4,7.94E-05,8.99E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,4,7.71E-05,8.66E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,4,7.38E-05,8.35E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,4,7.73E-05,8.67E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,4,8.03E-05,8.98E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,4,0.000344248,0.000354046
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,4,7.04E-05,8.02E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,4,7.63E-05,8.60E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,4,8.17E-05,9.14E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,4,9.60E-05,0.000105636
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,4,0.00013189,0.000141584
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,4,0.000196254,0.000205937
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,4,0.001086962,0.001096885
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,4,0.000573637,0.000583489
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,262144,4,0.001074478,0.001084152
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,524288,4,0.002054213,0.002063963
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1048576,4,0.004032402,0.004041972
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2097152,4,0.007966233,0.007975836
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4194304,4,0.016632227,0.016641886
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8388608,4,0.032192182,0.032202341
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16777216,4,0.063677811,0.063687723
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,33554432,4,0.126948265,0.126958455
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,67108864,4,0.253072453,0.253082321
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,134217728,4,0.505383468,0.505393427
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,268435456,4,1.011217978,1.01122905
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,536870912,4,2.04370545,2.043715657
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1073741824,4,4.169553079,4.169564194
