PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,0,6.94E-07,1.51E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,0,1.03E-06,1.11E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,0,1.63E-06,1.17E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,0,2.70E-06,1.22E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,0,4.87E-06,1.45E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,0,8.76E-06,1.89E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,0,1.66E-05,2.71E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,0,3.19E-05,4.10E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,0,6.39E-05,7.31E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,0,0.000130294,0.000141532
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,0,0.000258399,0.000267686
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,0,0.000507465,0.000516611
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,0,0.001049685,0.001059101
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,0,0.002013481,0.002022887
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,262144,0,0.004014581,0.004023946
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,524288,0,0.008029561,0.008039579
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1048576,0,0.015961553,0.015971117
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2097152,0,0.031669778,0.031679406
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4194304,0,0.062777963,0.062787665
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8388608,0,0.125377126,0.125386818
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16777216,0,0.248881565,0.248891445
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,33554432,0,0.49942998,0.499439435
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,67108864,0,0.997413552,0.997423931
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,134217728,0,2.000722062,2.000732512
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,268435456,0,3.991277855,3.991288296
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,536870912,0,7.984408363,7.984418595
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,2,4.86E-05,5.87E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,2,4.15E-05,5.09E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,2,4.52E-05,5.46E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,2,9.76E-05,0.000106765
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,2,4.45E-05,5.42E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,2,4.57E-05,5.54E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,2,4.97E-05,5.92E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,2,5.88E-05,6.84E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,2,8.16E-05,9.12E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,2,0.000111196,0.000120717
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,2,0.000179595,0.000190154
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,2,0.000314926,0.000324539
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,2,0.000582788,0.000592566
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,2,0.001133498,0.001144431
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,262144,2,0.002115442,0.00212512
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,524288,2,0.004104733,0.004114318
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1048576,2,0.008392304,0.008401864
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2097152,2,0.016761051,0.016770898
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4194304,2,0.032269187,0.032278916
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8388608,2,0.064100151,0.06411005
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16777216,2,0.125544049,0.125554047
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,33554432,2,0.252209469,0.252222498
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,67108864,2,0.508764337,0.508774461
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,134217728,2,1.007719197,1.00772943
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,268435456,2,2.041781078,2.04179083
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,536870912,2,4.058140254,4.05815096
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,4,0.000819241,0.000829247
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,4,0.000811405,0.000821305
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,4,0.000280852,0.000290678
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,4,0.000810467,0.000820073
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,4,0.000623599,0.000633647
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,4,0.000282815,0.000292667
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,4,6.75E-05,7.66E-05
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,4,0.000884419,0.00089373
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4096,4,0.000195403,0.00020511
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8192,4,9.10E-05,0.000103166
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16384,4,0.000959481,0.000969041
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32768,4,0.000677657,0.000687384
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,65536,4,0.00064814,0.000658154
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,131072,4,0.001318932,0.001328832
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,262144,4,0.001537379,0.001547359
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,524288,4,0.003075551,0.003085179
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1048576,4,0.005281236,0.00529088
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2097152,4,0.009433738,0.009443466
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4194304,4,0.017803484,0.017813546
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8388608,4,0.037717289,0.037727185
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16777216,4,0.074969846,0.074979789
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,33554432,4,0.14930247,0.149315739
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,67108864,4,0.282111413,0.282121487
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,134217728,4,0.542440318,0.542450452
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,268435456,4,1.117696761,1.117708597
PI_SERIES,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,536870912,4,2.145709359,2.145719221
