,PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
0,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,0,0.009675352,0.009796306
1,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,0,0.009268862,0.00937468
2,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,0,0.008974004,0.009167514
3,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,0,0.014639478,0.015201664
4,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,0,0.089472237,0.092206756
5,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,0,0.536180792,0.544264567
6,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,0,3.763981834,3.794345785
7,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2048,0,29.495074429,29.560335327
8,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,2,0.000153883,0.000228726
9,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,2,0.000353417,0.000422565
10,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,2,0.001119366,0.00131057
11,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,2,0.007010498,0.00744217
12,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,2,0.048811284,0.050886858
13,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,2,0.347434507,0.353618157
14,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,2,2.288059767,2.307090101
15,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2048,2,18.291191511,18.356933785
16,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,4,0.000167917,0.000285539
17,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,4,0.000300613,0.000370031
18,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,64,4,0.001188942,0.001540309
19,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,128,4,0.005790489,0.006220888
20,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,256,4,0.036371442,0.039287087
21,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,512,4,0.19962434,0.206002588
22,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1024,4,1.244625535,1.268960515
23,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2048,4,9.260462669,9.326170984
24,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,16,8,0.000221513,0.000273359
25,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,32,8,0.000345233,0.000420967
