"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1141899441.34078","1224022346.36872","1321229050.27933","1392737430.1676","1458100558.65922","1324022346.36872","1316201117.31844","1346927374.30168","1432402234.63687","1527932960.89385","1816759776.53631","1888268156.42458","2005586592.17877","2092178770.94972","1906145251.39665","1846368715.0838","2234078212.2905","2184916201.11732","2327932960.89385","2361452513.96648","2162569832.40223","2101117318.43575","2203351955.30726","2389944134.07821","2425195485.90897","1694640361.19218","2133552214.74096",
"Africa Eastern and Southern","AFE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49807666135.027","53264773763.568","50495012609.503","50582873373.1819","57959220365.9991","70084062503.2859","71403794165.7871","74199762621.0096","72305431812.2728","67301178010.2052","73447258589.6368","69940605230.9","74819201160.7908","94274852487.294","120210367826.984","145901335884.364","171016294570.976","211310383644.689","257671369078.657","230365191730.478","263535922001.023","306579610323.672","320386440420.935","330717788246.286","317495840114.153","270546949426.494","231244702907.025","253395619865.568","284621013381.22","264863523477.917","219554319843.522","279241983362.446",
"Afghanistan","AFG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","37777780","44444446.6666667","51111111.1111111","126666717.777778","144444451.111111","215555548.888889","259999993.333333","237777784.444444","208888900","211111117.777778","208888900","295555548.888889","288888877.777778","255555562.222222","320000000","337777777.777778","380000006.666667","437777795.555556","457777788.888889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","2358036743.04348","2628156135.08493","2464965246.33216","2587501849.30369","2935984681.58472","3288154256.34552","3258104809.35469","3265715607.5874","3386464434.37053","3794247789.49292","4489084740.66155","4588763927.42433","5283277316.35898","7309676148.80013","10562173406.3028","15310986835.9102","18643644350.3806","19417838779.1745","21636001185.6737","24258786096.0387","30594843035.2625","34226277431.378","26397966818.7321","18669219589.9307","15975379882.6745","18137132196.741","19338804192.1294","21446883450.1687","20282322326.245","21134673631.7353","24723804774.6707","25268887297.5453","26533641605.9569","22038974066.0108","20350367722.8462","27981155148.6474","32552419832.6592","37015460907.1852","37265223674.689","33362139597.5466","33320603985.5693","41573870522.7895","44849724859.2271","57878442615.5569","55884876745.0529","67495272792.8527","84517950073.9176","119267360564.917","135547914076.7","128346442607.706","154452050665.687","191528091249.883","168677076335.565","181117152450.362","185328263065.956","154538222675.576","146934041783.005","153269655357.404","187913393816.093","207062580393.621","134852347657.932","179288467472.78",
"Angola","AGO","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5738980003.82281","6697298360.22468","7370193566.76514","8831519590.16866","10645428494.1358","15181994765.8936","16320505275.1029","26207276865.8555","43286243193.0314","44777809152.3569","34788093520.6008","43022314719.6695","44824316724.7779","48111076624.7539","47538582413.1075","28899171590.2341","12582567235.2346","16038048502.8546","19869658776.7006","11809428922.0335","8710618374.59391","10917707594.4868",
"Albania","ALB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","372867136.182956","362610725.835338","336224987.5","335624987.5","408575012.5","483800000","487500000","314316659.722222","627952433.94529","764996711.818738","773426393.922004","836744255.238814","1064684221.5564","795638991.138378","933614580.576872","1097558435.916","1508343772.56819","1771127105.66616","2068787044.40985","2591005963.89867","3220867804.41529","3853670510.65232","4364189416.47282","5867639633.34325","6717539984.69508","6004539467.51935","5792185435.94322","6700236778.93431","5860877558.83022","5999380803.48862","6243003602.57869","5070976018.90098","5436220794.65131","6070360621.32662","6856192656.30267","6926961751.75784","5636282433.50207","8016544325.73416",
"Andorra","AND","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174456156009.697","190143898998.199","202378494564.217","214808332093.97","217166682551.588","226937700674.338","245947473180.049","249252858461.24","258361784807.964","291280929083.391","380740478619.239","466935088501.712","546566474671.073","713281465468.656","915813536456.055","821899585868.4","863092953750.341","908898122203.029","1013330844667.08","1066586663480.28","1114034905333.39","1043246994226.77","964681578087.189","1022071974600.62","1056465914582.55","1087714404576.77","917299710077.114","",
"United Arab Emirates","ARE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42053369639.2104","47845064669.8434","57668073519.401","78428046289.9932","93862491490.8101","112930428863.172","166134240980.259","219714363512.594","187139823008.85","178610755616.065","215973042886.317","239748672566.372","252509462219.197","277888359428.182","266276378488.768","270442477876.106","290782845473.111","281535738597.685","295599807270.252","246886262682.097","",
"Argentina","ARG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","2294367226.53985","1441753153.10994","1424602863.7313","1176470539.39431","1428571371.44429","1212121237.48041","1428571474.83812","2000000041.3448","1495789482.224","2199999958.62685","2374999979.49003","3000000101.96424","4555555489.85516","3135135020.645","3030000057.09425","4159999872.68227","3319672098.15378","4383512570.52097","4989980079.95196","5800000170.81341","5497685333.13496","6068376037.18012","3762000095.03612","5546666806.78726","7015555449.2007","8417142923.96163","7839772666.04089","5042239480.95944","6546483925.69926","11531201153.6445","18606904906.1175","22049649649.6497","27299960000","26038017000","30148400000","37413700000","38667300000","32762700000","33070146000","27603881800","13065823829.1753","18772898618.6064","27736672323.6712","34392237786.5721","40480743015.8524","52567536062.3157","66316154417.0834","48268743529.5373","67937933972.3653","88839174034.695","78013690406.706","81240190816.9153","73691675720.0984","70064879911.7042","75639125936.7673","89910533566.3871","85681285075.6362","65845613750.5478","52467889598.9748","72817358027.6806",
"Armenia","ARM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1045655213.09657","1244415584.41558","779688141.15716","729847643.457212","961398392.548806","913101627.206","894135832.286736","955405625.76437","1000634291.3776","919091316.86166","957156466.972861","968529888.660685","1096735501.87495","1391414378.76877","1605180991.65807","2098701754.40896","2482540157.15781","3570727647.4944","4697073302.10145","3684309463.16552","4157364238.39287","4757906356.73632","5139736511.98216","5471934988.45409","5481836161.68309","4427830447.17057","4464567912.38578","5646878995.6173","6612702098.74823","7458380572.51495","5021765248.03536","6075564642.59484",
