"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1121229050.27933","1195530726.25698","1264245810.05587","1326256983.24022","1377094972.06704","1393854748.60335","1346368715.0838","1266480446.92737","1282122905.02793","1458100558.65922","1606703910.61453","1595530726.25698","1741899441.34078","1863128491.62011","1606703910.61453","1477653631.28492","1839664804.46927","1911731843.57542","2088268156.42458","2184357541.89944","2158659217.87709","2143016759.77654","2243575418.99441","2363128491.62011","2460174357.5419","1347955008.01117","2154231632.83799",
"Africa Eastern and Southern","AFE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","49639216080.0581","42009841260.8762","36470021144.3657","37289942593.0275","35178909401.7636","32762444350.8216","37435419799.2704","46812380602.2364","49210895306.4726","48718496463.96","52194032767.7456","51277229409.2797","52018834671.8135","54605029674.0261","57921156364.4647","66848780334.166","69653700640.5042","70938846264.5965","67061748085.7877","65953158479.0963","73792410823.2","70264192532.8276","75154430777.7747","92087515219.047","114916094080.86","143491054203.72","172242795308.662","213344498902.059","253808647746.98","200948701950.178","254585025564.578","300803246527.13","288474706703.804","284833265586.272","276779549497.986","212172697051.562","190393578010.341","220265006096.322","253156577006.262","236757789593.868","204172990917.701","277976211056.523",
"Afghanistan","AFG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","22222233.3333333","24444455.5555556","26666680","68888922.2222222","71111144.4444444","113333340","120000000","113333340","122222228.888889","142222222.222222","171111104.444444","199999988.888889","235555544.444444","224444437.777778","302222222.222222","300000006.666667","337777777.777778","344444451.111111","357777771.111111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","1744319895.60379","1916430501.69388","1952487115.79175","2086185011.0795","2427096578.31241","2667174018.28349","2752211304.06836","2683589190.62315","2938862568.18148","3385425763.42475","4022830111.50297","3984647331.31967","4862059196.2817","7005216140.21884","13470539735.7285","12589121157.4868","15288039058.9112","19358737584.8852","18268537227.6161","25305481864.3314","36601603699.071","29481739757.7427","24129432351.481","18859757075.2718","19477812991.803","20790929152.5031","17799946769.1897","22344555544.5732","20669409729.6667","27870281761.217","30965147677.7998","30668832848.3067","30459901523.1503","23115633764.9099","21898840112.8897","32547746147.9586","36266957108.1337","40183913288.9438","32700666794.0354","36503773082.3733","50875510322.1878","45216504155.5209","49514088328.9489","60085720571.5682","66800561301.3672","84009848964.8394","125232384011.914","123278749984.479","169595418968.293","123005733451.004","175910481891.027","232813925204.465","250302511291.137","196323296544.212","207849275760.561","133484031243.339","116559773913.056","142334721550.049","170997679439.785","172550370966.01","124034932789.656","165790107626.667",
"Angola","AGO","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8187952996.90344","6736804052.06298","8725781181.80022","9676099739.56623","13749769575.3243","24225663183.7639","33245105956.2189","44319695565.281","64168383679.8013","41310593206.4512","50280434505.8769","66395107686.3433","69924162329.6285","67697415578.9142","61341442498.8622","25951752164.8067","14017381688.2126","20004932389.8365","31767752271.8422","28271709349.1708","19110949393.407","29843731084.8329",
"Albania","ALB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","335069933.049631","319090900.273501","327312512.5","333550012.5","348287487.5","418924987.5","312500000","82300000","81519209.6758071","189399541.45744","225407481.032684","302465325.386337","371808985.54913","230303544.648943","291949986.768987","540977914.554671","700083398.144547","836717875.539468","910729684.956035","1169850310.53175","1596261928.9261","1853022970.79312","2242665086.02148","3016116154.41694","3259293923.566","3040048284.81513","3337085649.24613","3769457697.94184","3565049424.96224","3694412184.43974","3732057451.6496","3104896964.71229","3437126527.98196","4110290931.98992","4785177777.03696","4821430704.1915","3435536125.17257","5590528223.53168",
"Andorra","AND","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","306361825597.911","319525023011.363","375747598218.342","502236814385.579","673896577223.035","819711718347.05","952967589653.553","1262466308154.13","899427605188.267","1115761693700.76","1361830429493.12","1528122681273.99","1509883223783.22","1417638104298.85","1044203750047.42","952433728008.642","1091120208241.29","1286518607054.78","1245498516074.49","933981691847.34","",
"United Arab Emirates","ARE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50787202178.3526","54362695711.3683","69538461538.4615","93968596324.03","122070878148.4","152433690946.222","186690265486.726","248808168822.328","201958883594.282","238328114363.513","315867937372.362","375513955071.477","392244520081.688","401366643975.494","361252552756.978","360626276378.489","384043567052.417","392863172226.004","404046289993.193","335237576582.709","",
"Argentina","ARG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","1147183934.48134","1441753549.59206","1424603255.4971","1764705803.20912","1904761830.17968","1818181857.73576","1714285705.23432","2000000041.3448","1769210602.71535","2000000003.29714","2500000047.48951","4000000136.32269","4999999839.57003","3054054017.48759","4695000304.43367","5459999880.58299","4999999950.3057","4508960596.80231","3895791554.63367","5445263189.73462","7663966255.62989","9515669466.75192","6003000151.64854","10376666928.8033","9054444307.18032","8747619117.06127","12029545360.5898","10007559520.4417","14643450361.4013","14561091033.0362","15095901877.6499","16357317317.3173","19385100000","24978532000","28381400000","30928400000","31137200000","27862300000","31223690400","31112418400","27736610298.2555","33084505277.8061","39266996605.7973","46198180131.0044","53550250227.3909","65162321195.025","79762958392.3012","65133480388.4946","80208867995.7171","97810932629.3764","88655850853.7721","80690471898.442","75818867911.0825","63671789068.8987","69842486095.8653","72860588696.2874","75766577038.619","80259469133.6486","64041594762.912","87867694033.2054",
