"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.4636209813875","88.7044534412956","86.2509117432531","83.629654478363","84.6303501945525","70.6829704742022","69.3961708394698","68.6503416856492","70.0737906531839","67.7651139742319","76.9886363636364","76.4532911106085","74.9008971416649","73.5900962861073","74.6444979216802","75.2504553734062","84.6886912325286","83.5505233924375","85.3368830636904","84.6076861489191","72.9826546003017","70.4175248080884","71.2556458897922","74.6336357292394","71.9862540701072","64.9277808389368","68.2514067372442",
"Africa Eastern and Southern","AFE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6691985123443","19.4819545861619","21.1934209164593","21.3854467624682","24.1373416568763","25.9917441146004","26.601861835555","26.2944455833636","27.2012165308235","25.670329058351","25.8682299648529","27.022738197555","28.2472392641224","26.7323357582804","27.3928530702452","28.4843073418446","29.7056398748172","31.9777279617617","36.3893558879927","32.036493706889","30.6318730617136","31.7969036285324","32.9421339693275","33.6275458532664","31.6303988897037","29.2634165528482","26.1967975553087","24.8154903232491","28.2575034615139","26.4594417815119","23.6720216295315","25.8387142219212",
"Afghanistan","AFG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.02479336623182","8.09716629841498","9.34959330590257","16.8639103340214","18.0555553858025","21.4128034842526","18.571428537415","14.2098270385479","15.2103564269331","14.9842272480072","11.9441077843955","16.1407951985264","18.1058497936081","14.7435907141683","14.8453612226592","14.2723007777117","14.8695654136106","14.8231754979077","13.8720537510231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","22.6644187851372","23.6177302164341","20.6390896437432","20.41207268361","21.2162619666211","22.1242383843633","20.5784685991196","22.6376469795226","22.7579633419582","22.4749851262422","19.0987453302004","22.0266125282988","20.9114861849408","23.3731484560001","23.8884913101436","29.7620112010416","30.0077696527851","29.729520601036","30.3877666567549","27.3713456959428","27.3091900852389","16.2207161156118","14.1042109776752","13.5171356383588","13.9812765098406","15.5673806716245","17.9899965812318","19.4403003379383","18.6172914642401","20.7673443595353","20.298336083239","21.5132978328949","22.4324790058099","22.3007018294593","23.5859485885973","25.8554923903393","25.8839355798285","29.1313696656255","28.642021174482","24.2596690704884","23.7308898588327","28.3239702107387","25.3953809783058","28.3064503259989","22.0477590118837","21.7660512857996","21.3614807647526","25.6806164572866","23.9281249736517","25.3134065973176","25.8657636705984","28.1470212922545","22.916839862811","21.7632150488918","20.765120218185","20.149503848596","21.2779692394347","22.416102445926","24.5202614002982","26.0548135343064","17.183027435306","21.339107478386",
"Angola","AGO","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.8612782697202","74.946850958953","48.2165964065917","49.5798907399883","45.1995887314867","41.0646943598961","31.1572958281252","40.1542845215112","48.8896796542348","63.6888259118458","42.5805324079214","39.3125588161519","35.8599667074303","36.0648469678372","34.6378933219044","33.1339181383385","25.2456726203982","23.2527251600707","25.541723496358","17.0387830650203","16.2453727846664","16.1973489198422",
"Albania","ALB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.5366005935177","22.2899596239822","24.7376437022741","21.558592462639","20.075351594758","19.1144514025886","16.0311247475208","16.1296420781227","19.9184766016104","21.4727330022325","24.0318995737727","28.5857013386048","96.2858807479086","64.5395029570264","41.1188903879182","34.9697653759195","33.27511148197","35.2284289698301","36.6703685610943","34.1692673931568","43.3387875873655","45.1576132001299","47.5794520503068","46.1731745895907","44.8296265467915","47.85935562815","49.0574825118736","54.9542146887506","52.1493333802176","49.8541657924919","48.5639550032469","51.9770317939697","47.572712860263","46.9573987095321","47.19484413802","44.5336151883802","45.8319636476989","46.624465948041","45.236190919583","44.9749244902205","37.2477679402658","43.9123447009596",
"Andorra","AND","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.3575455483418","34.1949775654181","32.9503313416991","32.4328501007","33.6956703348938","31.8358568439527","30.1399091089735","31.214923178959","32.1696489709444","32.8073570521479","36.0465487443048","35.9763961119358","35.530776396233","39.8473258803104","40.6354399256886","41.5353175788746","37.0903662733976","35.7572016652855","36.3569607846378","37.5092536069695","38.4752591025106","41.0901032470452","38.3344780193117","39.3392951874475","37.7251528376819","38.5919270772749","36.8274382583582","",
"United Arab Emirates","ARE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7053546013305","43.5683114306968","46.3769702756087","53.0548827099662","51.9675602523703","50.8428719062721","64.4140553654625","69.6456553241827","73.8086264961866","61.6350894338384","61.5893776215917","62.3355072430771","63.092896368003","67.1057131191364","71.9130486297312","73.2399666737447","74.4610327858834","65.9257962668894","70.7193961716637","70.6453007377593","",
"Argentina","ARG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.60404697912324","5.99494531619397","9.38368289056535","7.89045203275027","5.56371407476368","4.15058297228058","4.98968803354159","4.99706414666865","5.40371142251908","6.3987133165299","4.73587740491927","6.60795603425504","6.837877358188","5.70950079036544","6.28900906002225","5.97867249611964","5.92149632785012","7.32639415522164","5.71540643432211","6.32976917437938","6.48369977956918","7.37192799857345","6.52099302139343","5.83614942003836","4.75648611743286","6.27332704995287","6.32405524784407","7.57576406955165","6.21184563577101","6.57938879331971","4.63132240741775","6.07801081056698","8.13279311431564","9.31379991407563","10.6043971410814","10.0910128307854","11.0778716497076","12.7753287418177","12.934446011977","11.5555704475475","11.6360695451767","10.2732473690136","13.370127359396","14.7138051046861","16.8450266849578","17.3053942367662","17.4067852681036","18.2824203070644","18.341772996414","14.4961418494061","16.0371898581987","16.7569458546489","14.2886829096862","14.7167556136651","14.0013150558519","11.7805740385254","13.5667926798789","13.9693177780045","16.3258502050892","14.7057366680037","13.6089274859868","14.9452529001736",
