x,y
0.0,1842.0
1.0,4353.0
2.0,3174.0
3.0,2341.0
4.0,1514.0
5.0,1058.0
6.0,848.0
7.0,582.0
8.0,464.0
9.0,364.0
10.0,232.0
11.0,167.0
12.0,145.0
13.0,112.0
14.0,102.0
15.0,93.0
16.0,116.0
17.0,93.0
18.0,95.0
19.0,88.0
20.0,79.0
21.0,74.0
22.0,60.0
23.0,47.0
24.0,45.0
25.0,56.0
26.0,42.0
27.0,45.0
28.0,35.0
29.0,34.0
30.0,34.0
31.0,37.0
32.0,34.0
33.0,24.0
34.0,25.0
35.0,22.0
36.0,16.0
37.0,14.0
38.0,10.0
39.0,9.0
40.0,11.0
41.0,9.0
42.0,7.0
43.0,8.0
44.0,4.0
45.0,9.0
46.0,10.0
47.0,9.0
48.0,2.0
49.0,2.0
50.0,6.0
51.0,5.0
52.0,2.0
53.0,1.0
54.0,3.0
55.0,1.0
56.0,3.0
59.0,2.0
60.0,1.0
61.0,2.0
62.0,1.0
63.0,1.0
65.0,1.0
68.0,1.0
71.0,2.0
76.0,1.0
86.0,1.0
