x,y
0.0,11577.0
1.0,3365.0
2.0,1270.0
3.0,598.0
4.0,373.0
5.0,225.0
6.0,168.0
7.0,120.0
8.0,95.0
9.0,78.0
10.0,67.0
11.0,45.0
12.0,46.0
13.0,33.0
14.0,43.0
15.0,34.0
16.0,26.0
17.0,25.0
18.0,25.0
19.0,20.0
20.0,12.0
21.0,16.0
22.0,8.0
23.0,19.0
24.0,12.0
25.0,12.0
26.0,7.0
27.0,10.0
28.0,7.0
29.0,12.0
30.0,11.0
31.0,10.0
32.0,8.0
33.0,11.0
34.0,4.0
35.0,6.0
36.0,2.0
37.0,1.0
38.0,2.0
39.0,3.0
40.0,8.0
41.0,5.0
42.0,7.0
43.0,3.0
44.0,2.0
45.0,3.0
46.0,4.0
47.0,3.0
48.0,3.0
49.0,3.0
50.0,3.0
52.0,2.0
53.0,2.0
54.0,5.0
55.0,2.0
56.0,3.0
57.0,3.0
58.0,4.0
59.0,2.0
60.0,8.0
62.0,2.0
63.0,1.0
64.0,1.0
65.0,2.0
67.0,4.0
68.0,2.0
70.0,2.0
71.0,2.0
72.0,2.0
73.0,1.0
74.0,4.0
75.0,1.0
76.0,2.0
77.0,1.0
78.0,2.0
80.0,1.0
81.0,3.0
83.0,1.0
84.0,2.0
85.0,1.0
86.0,1.0
87.0,1.0
88.0,3.0
90.0,2.0
91.0,1.0
92.0,2.0
95.0,1.0
96.0,1.0
98.0,1.0
99.0,3.0
101.0,1.0
104.0,1.0
106.0,1.0
109.0,1.0
114.0,1.0
115.0,1.0
119.0,1.0
123.0,2.0
124.0,1.0
125.0,2.0
126.0,1.0
127.0,1.0
128.0,1.0
129.0,3.0
135.0,1.0
139.0,1.0
140.0,1.0
141.0,1.0
144.0,2.0
145.0,1.0
146.0,2.0
148.0,2.0
157.0,1.0
163.0,1.0
165.0,1.0
168.0,1.0
172.0,1.0
174.0,1.0
176.0,2.0
182.0,1.0
193.0,1.0
204.0,1.0
216.0,1.0
217.0,1.0
222.0,2.0
226.0,1.0
247.0,1.0
250.0,1.0
251.0,1.0
256.0,1.0
268.0,1.0
274.0,1.0
276.0,1.0
283.0,1.0
284.0,1.0
291.0,1.0
303.0,1.0
319.0,1.0
327.0,1.0
328.0,1.0
330.0,1.0
339.0,1.0
367.0,1.0
369.0,1.0
444.0,1.0
465.0,1.0
504.0,1.0
523.0,1.0
544.0,1.0
566.0,1.0
571.0,1.0
608.0,1.0
707.0,1.0
727.0,1.0
732.0,1.0
785.0,1.0
823.0,1.0
862.0,1.0
897.0,1.0
939.0,1.0
962.0,1.0
968.0,1.0
983.0,1.0
990.0,1.0
1009.0,1.0
1027.0,1.0
1047.0,1.0
1052.0,1.0
1310.0,1.0
1332.0,1.0
1623.0,1.0
1689.0,1.0
2008.0,1.0
2238.0,1.0
2352.0,1.0
2488.0,1.0
9025.0,1.0
